Alternative New Code,D365 Name,Serial Required
1050002610,"GRINDING DISC, ZIRCONIA, 4 1/2""",no
1050002620,"BRUSH, CIRCULAR, STEEL 6""",no
1050008450,"BRUSH, CIRCULAR, WIRE, 4.5""",no
2060003380,"WIPER, CIRCULAR, WAVE, 4""",no
1050002630,"BRUSH, CUP WIRE, 4""",no
2020015440,"BRUSH, FIRE, MANUAL, HANDLE D / WOOD",no
1050008460,"BRUSH, RECTANGULAR WOOD, MANUAL",no
1050002640,"BRUSH, POLISHER, C / SHAFT, 40 X 20 X 6 MM",no
1030000700,"GREASE, WELDING, TIN",no
2050028610,"BURNER, DIFFUSER, WS55W",no
2050019220,"BASE, ISOLATOR, 2.3",no
2070036070,"LIGHTER, CUTTING TORCH",no
1050003210,"NOZZLE, CLEANER",no
2050028620,"ROLLER KIT, KP 653 1 / 16-5 / 64",no
1050003350,"NOZZLE, SUBMERGED ARC, 3/32""(2.4MM), ARC-SUM",no
1050003360,"NOZZLE, CUTTING TORCH, AGA, NO. 0",no
1050003370,"NOZZLE, CUTTING TORCH, AGA, NO. 1",no
1050003380,"NOZZLE, CUTTING TORCH, AGA, NO. 2",no
1050003390,"NOZZLE, CUTTING TORCH, AGA, NO. 4",no
1050003220,"NOZZLE, CUTTING TORCH, AGA, NO. 5",no
1050003400,"NOZZLE, CUTTING TORCH, AGA, NO. 7",no
1050003230,"NOZZLE, WELDING, 14564",no
1050003410,"NOZZLE, CONTACT, T14050 - 3/32"" O 2.35 MM",no
1050003420,"NOZZLE, CONTACT, T14050 - 7/64"" O 2.75 MM",no
1050003430,"NOZZLE, MAGNUM, 400, 19.1 MM, LINCOLN ELECT.",no
1050003440,"NOZZLE, CUTTING TORCH, AGA, NO. 3",no
2050012260,"PRESSURE GAUGE, 0-400 PSI, ACETYLENE",no
2050012270,"PRESSURE GAUGE, 0-4000 PSI, OXYGEN",no
2030004060,"VALVE, NON RETURN, ACETYLENE",no
1050003710,"REGULATOR, OXYGEN, CUTTING TORCH",no
1050003720,"REGULATOR, ACETELEEN, CUTTING TORCH",no
1050003450,"NOZZLE, 24CT-625",no
1030004050,"DIFFUSER, GAS # 3, OXICOR",no
2070034810,"EQUIPMENT, CUTTING TORCH, AGA X21",no
1050003460,"NOZZLE FOR HEATING, 5H",no
1050003470,"NOZZLE, CUTTING TORCH, AGA, NO. 6",no
2020015850,"FLOW METER, ARGON",no
1050003740,"SANDPAPER, WATER, #180",no
1050003860,"SANDPAPER, WATER, #120",no
1050003750,"SANDPAPER, WATER, 150 GRIT",no
1050003870,"SANDPAPER, WATER, #200",no
1050003880,"SANDPAPER, WATER, #80",no
1050003890,"SANDPAPER, IRON, #200",no
1050003900,"SANDPAPER, IRON, #100",no
1050003910,"SANDPAPER, IRON, #120",no
1050003920,"SANDPAPER, IRON, #40",no
1050003760,"SANDPAPER, WATER, 400 GRIT",no
1050003770,"SANDPAPER, GRIT 60",no
1050003930,"SANDPAPER, IRON, #80",no
1050002650,"STONE, GRINDER, 8""X 1"" X 1./4"", 39-C60, GREEN",no
1050008140,"WELDING WIRE, AWS ER70S-6,1.2MM",no
1050007800,"WELDING ROD, SUPERSITO, E7018, 5/32""",no
